claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
FND11,5,"Kalshi's orderbook schema returns bid-array levels with dollar prices and fixed-point quantities for each side, and opposite-outcome bids imply corresponding asks under ordinary binary mechanics.",KALSHI_BOOK,"Response Structure; Why Only Bids?; Calculating Spreads",official_documentation,"Schema and base root may change; a displayed level is not a promised fill, and a present book is not its history."
FND12,5,"Polymarket's public order-book interface identifies an outcome token and returns price/size levels plus market constraints and book-state metadata.",POLYMARKET_BOOK,"Order Book; Fetch an Order Book, API example",official_documentation,"A fetched book or hash does not reconstruct intervening history or queue position."
FND13,5,"Hanson's logarithmic market scoring rule work develops market scoring rules combining individual elicitation with group information aggregation, with special conditional-probability preservation properties of the logarithmic form.",HANSON2007,"Publisher abstract; citation_volume, citation_issue, citation_date metadata",theoretical_abstract,"Full theorem and cost-function derivations were not inspected in this audit; the LMSR derivation in this chapter is this book's own independent classroom construction, not a reproduction of the source's proof."
FND14,5,"Abernethy, Chen, and Vaughan develop convex-cost market design over combinatorial or infinite outcome spaces with bounded-payoff securities, connecting convex-hull optimization and online learning.",ABERNETHY2013,"Institutional abstract",theoretical_abstract,"Institutional mechanism design is not a guarantee that a trader can execute a mispriced basket; does not establish that any two real markets can be costlessly combined."
FND15,6,"Kalshi describes ordinary YES/NO payouts, net-position settlement, and variable settlement timing, distinguishing zero fees for simple determinations from possible sub-cent scalar-settlement fees and rounding.",KALSHI_SETTLEMENT,"How It Works; Settlement Timing; Fees",official_documentation,"Not a guarantee of immediate settlement or identical treatment for every contract; contract rules remain authoritative."
FND16,6,"Kalshi's historical-data guide describes live/historical partitions using moving cutoff timestamps retrievable through a documented endpoint, with different object types subject to different partition times.",KALSHI_HISTORY,"Cutoff Timestamps and Historical Endpoints",official_documentation,"Does not establish a complete historical order-book archive; documentation is not a redistribution license."
FND17,6,"Kalshi provides a mock-funds demo environment with credentials separate from production and explicitly warns that demo prices and behavior may not reflect real markets.",KALSHI_DEMO,"Opening paragraphs, Warning and endpoint table",official_documentation,"A demo is a mechanics test, not verified live-liquidity simulation or profitability evidence."
FND18,6,"Polymarket resolution documentation states that contract rules, not the market title, determine settlement, and describes additional-context clarifications that may be issued after trading begins.",POLYMARKET_RESOLUTION,"Resolution Rules; Clarifications",official_documentation,"Not every contract follows an identical edge-case path; indicative timelines are not guarantees of payout timing."
FND19,6,"Polymarket describes pUSD as a Polygon ERC-20 collateral wrapper representing a USDC claim, with documented wrapping/unwrapping operations and a pause gate.",POLYMARKET_COLLATERAL,"Why pUSD; Key facts; wrapping/unwrapping requirements",official_documentation,"Operator description only, not an independent audit of reserves, contracts, custody, or redemption safety."
FND20,6,"Polymarket's fee documentation describes market-specific taker fees depending on share price and quantity, distinguishing fee-free categories and maker-side treatment.",POLYMARKET_FEES,"Fee Structure; Fee Precision",official_documentation,"Time-varying category table; not a permanent constant, and rebates are not guaranteed strategy profit."
FND21,6,"Polymarket's markets-and-events documentation states that order-book trading additionally requires an enableOrderBook property on the market, distinct from the event/market identifier grouping.",POLYMARKET_MARKETS,"Markets; Events; Multi-Market Events",official_documentation,"Grouping under an event does not by itself prove an exhaustive, exclusive partition or universal order-book access."
FND22,6,"A retrieved Polymarket terms-of-use page displayed a notice that trading on polymarket.com was blocked for the United States and pointed to a separate polymarket.us product, without the complete operative terms being retrieved.",POLYMARKET_TERMS,"Geographic/product banner in retrieved response",official_web_page,"Partial official response; does not establish full eligibility, legal availability, current account requirements, or data-reuse permission for any reader or jurisdiction."
FND23,6,"Kalshi's fee-rounding guide states that rounding accumulation is maintained across the fills of a single order rather than computed independently per fill.",KALSHI_ROUNDING,"Rounding Mechanics; Fee Accumulator",official_documentation,"Not the complete market-specific trade-fee schedule; illustrative flat per-unit classroom fees are not a substitute for this accumulator behavior."
