claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
R004,3,Actual venue fee treatment can depend on price and market rather than a universal flat fee.,POLYMARKET_FEES;KALSHI_ROUNDING,Fee Structure; Rounding Mechanics,official_documentation,Mutable product-specific examples; no timeless fee table is asserted.
FND07,4,"Wolfers and Zitzewitz give sufficient conditions under which a prediction-market price is closely related to the mean belief of participants, with the approximation's quality depending on assumptions such as risk attitudes and the shape of the belief distribution.",WZ2006,NBER abstract immediately following Issue Date,theoretical_abstract,Abstract-level inspection only; full derivation of the sufficient conditions was not independently reviewed.
FND08,4,"Under a risk-neutral, price-taking model with heterogeneous beliefs, equilibrium price only partially identifies the central tendency of beliefs and does not identify their dispersion.",MANSKI2004,NBER abstract,theoretical_abstract,"A model-dependent identification result, not a claim that market prices carry no information; full proof not independently inspected."
FND09,4,Wolfers and Zitzewitz's 2004 survey assembles evidence on information aggregation and predictive accuracy across multiple prediction-market contexts.,WZ2004,Publisher abstract,empirical_abstract,"A synthesis of selected contexts, not a contemporary venue-wide performance estimate; does not by itself separate correlation from causation in every surveyed case."
FND10,4,"Contemporaneous Iowa Electronic Markets vote-share forecasts were compared with 964 national polls across five U.S. presidential elections from 1988 through 2004, with the market closer to the eventual two-party vote split in 74 percent of those comparisons.",BERG2008,IEM institutional abstract,empirical_abstract,964 polls are not 964 independent elections; vote-share forecasting is not the same estimand as winner-take-all probability; no post-cost profitability inference; IEM page and DOI record disagree on page range (283-298 vs 285-300).
R005,4,Wolfers and Zitzewitz describe sufficient conditions for price to reflect mean beliefs and useful but sometimes biased approximations beyond those conditions.,WZ2006,NBER abstract,theoretical_abstract,Working paper; no blanket assertion that every market price is calibrated.
R006,4,Manski's risk-neutral price-taking model partially identifies central tendency and does not identify belief dispersion.,MANSKI2004,NBER abstract,theoretical_abstract,Model-dependent result; not evidence that prices are universally uninformative.
R007,4,The IEM study abstract compares 964 polls across five presidential elections and reports contemporaneous market vote-share predictions closer to the eventual two-party split in 74 percent of comparisons.,BERG2008,IEM institutional abstract,empirical_abstract,Five election outcomes are not 964 independent outcomes; vote-share accuracy is not net trading profit.
FND11,5,"Kalshi's orderbook schema returns bid-array levels with dollar prices and fixed-point quantities for each side, and opposite-outcome bids imply corresponding asks under ordinary binary mechanics.",KALSHI_BOOK,Response Structure; Why Only Bids?; Calculating Spreads,official_documentation,"Schema and base root may change; a displayed level is not a promised fill, and a present book is not its history."
FND12,5,Polymarket's public order-book interface identifies an outcome token and returns price/size levels plus market constraints and book-state metadata.,POLYMARKET_BOOK,"Order Book; Fetch an Order Book, API example",official_documentation,A fetched book or hash does not reconstruct intervening history or queue position.
FND13,5,"Hanson's logarithmic market scoring rule work develops market scoring rules combining individual elicitation with group information aggregation, with special conditional-probability preservation properties of the logarithmic form.",HANSON2007,"Publisher abstract; citation_volume, citation_issue, citation_date metadata",theoretical_abstract,"Full theorem and cost-function derivations were not inspected in this audit; the LMSR derivation in this chapter is this book's own independent classroom construction, not a reproduction of the source's proof."
FND14,5,"Abernethy, Chen, and Vaughan develop convex-cost market design over combinatorial or infinite outcome spaces with bounded-payoff securities, connecting convex-hull optimization and online learning.",ABERNETHY2013,Institutional abstract,theoretical_abstract,Institutional mechanism design is not a guarantee that a trader can execute a mispriced basket; does not establish that any two real markets can be costlessly combined.
R008,5,Kalshi's inspected book schema represents YES and NO bids as string-valued dollar prices and fixed-point quantities.,KALSHI_BOOK,Response Structure,official_documentation,Current schema only; recheck before acquisition.
R009,5,The inspected Kalshi guide derives an ordinary binary YES ask from one minus the best NO bid.,KALSHI_BOOK,Why Only Bids?; Calculating Spreads,official_documentation,Subject to ordinary binary mechanics and displayed size; not a guaranteed delayed fill.
R010,5,Hanson's abstract describes market scoring rules as combining individual elicitation with group information aggregation.,HANSON2007,Publisher abstract,theoretical_abstract,Full cost-function theorem not inspected; classroom algebra should be derived independently.
FND15,6,"Kalshi describes ordinary YES/NO payouts, net-position settlement, and variable settlement timing, distinguishing zero fees for simple determinations from possible sub-cent scalar-settlement fees and rounding.",KALSHI_SETTLEMENT,How It Works; Settlement Timing; Fees,official_documentation,Not a guarantee of immediate settlement or identical treatment for every contract; contract rules remain authoritative.
FND16,6,"Kalshi's historical-data guide describes live/historical partitions using moving cutoff timestamps retrievable through a documented endpoint, with different object types subject to different partition times.",KALSHI_HISTORY,Cutoff Timestamps and Historical Endpoints,official_documentation,Does not establish a complete historical order-book archive; documentation is not a redistribution license.
FND17,6,Kalshi provides a mock-funds demo environment with credentials separate from production and explicitly warns that demo prices and behavior may not reflect real markets.,KALSHI_DEMO,"Opening paragraphs, Warning and endpoint table",official_documentation,"A demo is a mechanics test, not verified live-liquidity simulation or profitability evidence."
FND18,6,"Polymarket resolution documentation states that contract rules, not the market title, determine settlement, and describes additional-context clarifications that may be issued after trading begins.",POLYMARKET_RESOLUTION,Resolution Rules; Clarifications,official_documentation,Not every contract follows an identical edge-case path; indicative timelines are not guarantees of payout timing.
FND19,6,"Polymarket describes pUSD as a Polygon ERC-20 collateral wrapper representing a USDC claim, with documented wrapping/unwrapping operations and a pause gate.",POLYMARKET_COLLATERAL,Why pUSD; Key facts; wrapping/unwrapping requirements,official_documentation,"Operator description only, not an independent audit of reserves, contracts, custody, or redemption safety."
FND20,6,"Polymarket's fee documentation describes market-specific taker fees depending on share price and quantity, distinguishing fee-free categories and maker-side treatment.",POLYMARKET_FEES,Fee Structure; Fee Precision,official_documentation,"Time-varying category table; not a permanent constant, and rebates are not guaranteed strategy profit."
FND21,6,"Polymarket's markets-and-events documentation states that order-book trading additionally requires an enableOrderBook property on the market, distinct from the event/market identifier grouping.",POLYMARKET_MARKETS,Markets; Events; Multi-Market Events,official_documentation,"Grouping under an event does not by itself prove an exhaustive, exclusive partition or universal order-book access."
FND22,6,"A retrieved Polymarket terms-of-use page displayed a notice that trading on polymarket.com was blocked for the United States and pointed to a separate polymarket.us product, without the complete operative terms being retrieved.",POLYMARKET_TERMS,Geographic/product banner in retrieved response,official_web_page,"Partial official response; does not establish full eligibility, legal availability, current account requirements, or data-reuse permission for any reader or jurisdiction."
FND23,6,Kalshi's fee-rounding guide states that rounding accumulation is maintained across the fills of a single order rather than computed independently per fill.,KALSHI_ROUNDING,Rounding Mechanics; Fee Accumulator,official_documentation,Not the complete market-specific trade-fee schedule; illustrative flat per-unit classroom fees are not a substitute for this accumulator behavior.
R011,6,Polymarket documents disputes and additional-context clarifications after trading begins.,POLYMARKET_RESOLUTION,Challenge Period; Clarifications,official_documentation,Do not infer exact payout or timing from an informal title.
R012,6,The inspected operator guide describes pUSD as a Polygon collateral wrapper representing a USDC claim.,POLYMARKET_COLLATERAL,Why pUSD; Key facts,official_documentation,Operator description is not an independent reserve or contract audit; separate regional products.
R013,6,The retrieved polymarket.com page displayed a U.S. trading block and directed users to a separate polymarket.us product.,POLYMARKET_TERMS,Retrieved geographic banner,official_documentation,Complete operative terms not exposed; no full eligibility matrix or permission to trade established.
D001,7,"Contract resolution rules can permit an exceptional non-binary payout (an Unknown/50-50 redemption at 0.50 per token) in addition to disputes and post-launch clarifications, so a schema cannot assume every settlement is a clean binary 0/1.",POLYMARKET_RESOLUTION,Resolution Rules; UMA Vote table; Clarifications,official_documentation,Documents one venue's mechanism as of the inspection date; not a claim that every venue or contract shares this exact exceptional payout or frequency.
D002,7,An event container grouping multiple markets does not by itself establish that the grouped outcome tokens are mutually exclusive or form an exhaustive partition.,POLYMARKET_MARKETS,Events; Multi-Market Events,official_documentation,Actual contract compatibility for a specific event still requires reading that event's own rules; this is not a claim about any particular event's structure.
D003,7,"Live and historical partitions for a venue's records are governed by moving cutoffs with object-specific partition fields, and the documented historical endpoints do not establish a complete historical order-book archive.",KALSHI_HISTORY,Historical Data guide,official_documentation,"Describes one venue's documented interface as of the inspection date; does not establish coverage completeness, redistribution permission, or behavior of any other venue."
D004,7,"The selected real-data study period (January 1975-December 2025) deliberately excludes the March 1958-April 1974 window that the source header attributes to Scripps Institution of Oceanography, and separately excludes interpolation-flagged months and treats the December 2022-July 2023 Maunakea substitution as a location discontinuity.",NOAA_CO2,Header attribution; interpolation/negative-flag fields; Maunakea substitution note,data_provenance,"A provenance and scope boundary for one dataset, not a claim about data quality elsewhere in the series or about any market or forecasting application."
D005,7,"Retrieved terms-of-use text did not expose complete operative permissions, so no unrestricted venue-data redistribution license was established for the inspected venue documentation.",POLYMARKET_TERMS,Retrieved geographic-notice text,official_documentation,"A partial-response boundary, not a legal determination about any reader's eligibility or about redistribution rights for any other page or venue."
R014,7,NOAA's monthly CO2 file explicitly identifies early Scripps data and later NOAA-period observations.,NOAA_CO2,Dataset provenance header,data_provenance,The proposed extract restricts to 1975 onward rather than assuming a third-party redistribution license.
R015,7,NOAA GML qualifies public-domain government-server information with attribution and no-endorsement requirements and separately discusses third-party data.,NOAA_POLICY,Data and Products; Disclaimer of Endorsement,data_provenance,Public URL alone is not a license for unrelated or third-party data.
D006,8,"A provider's own documentation states that later quality-control checks can revise previously published monthly values, so a current-vintage download does not reconstruct a historical vintage.",NOAA_DATA,Data page revision statement,official_documentation,"States that revisions can occur in principle; this book has not measured any specific NOAA revision magnitude, and the chapter's illustrative revision numbers are explicitly invented for exposition."
D007,8,"Live/historical partitions use moving cutoffs with different fields governing different record types (for example, settlement versus trade-creation partition times), so a single query surface cannot be assumed to hold every past record.",KALSHI_HISTORY,Historical Data guide,official_documentation,Documents one venue's interface design as of the inspection date; general pagination/cutoff engineering practice described in the chapter is stated independent of any single provider's exact field names.
D008,8,"The inspected order-book schema uses string-valued fixed-point dollar prices and quantities in YES/NO bid arrays, with an ordinary binary contract's opposite-side bid implying an ask.",KALSHI_BOOK,Orderbook Responses guide,official_documentation,Describes one documented response schema as of the inspection date; a current schema example is not historical order-book evidence and may change.
D009,8,"The inspected public CLOB documentation returns price/size levels alongside a book timestamp, a state hash, a minimum order size, and a tick size for a given token.",POLYMARKET_BOOK,Prices and Order Books guide,official_documentation,A state hash identifies one returned snapshot; it does not establish complete historical coverage or queue-position information.
D010,8,"Documented resolution can include a challenge/dispute period after an initial proposed outcome, so the economically informative outcome can become knowable before funds are finally settled.",POLYMARKET_RESOLUTION,Resolution Rules; timeline description,official_documentation,Describes one venue's documented process; indicative timelines are not guarantees of payout timing for any specific contract.
R016,8,Kalshi partitions live and historical records using moving cutoffs with object-specific timestamp meanings.,KALSHI_HISTORY,Cutoff Timestamps; Historical Endpoints,official_documentation,The documented interface does not establish a complete historical order-book archive.
R017,8,NOAA warns that quality-control checks may revise the published CO2 values.,NOAA_DATA,Data revision warning,data_provenance,Chronological splitting of a current vintage does not recover historical publication vintages.
D011,9,White's inspected construction compares a candidate-family maximum with a benchmark and uses dependent common-block resampling under stationary strong-mixing assumptions.,WHITE2000,Abstract p. 1097; Sections 2a-2b through p. 1104,full_text_section,"Inspection depth follows the source audit; not all Appendix assumptions or proofs were read. No repair for undisclosed search, leakage or incorrect execution."
D012,9,Reading pointer for the false-discovery-rate objective and a stated control result under an independence-based testing setup.,BENJAMINI1995,Publisher-deposited abstract,theoretical_abstract,Do not assume arbitrary-dependence validity for the original procedure from this abstract-level record; a defined testing family and valid p-values remain necessary.
D013,9,"The inspected institutional abstract proposes a probability-of-backtest-overfitting framework and a combinatorially symmetric cross-validation method, and warns that repeated holdout inspection undermines the validity of a supposedly held-out evaluation.",BAILEY2017,Institutional abstract (Western Michigan University record),empirical_abstract,"CSCV is not presented here as a universal cure for dependent event labels; the warning about repeated inspection is used to motivate this chapter's own frozen-confirmatory-design argument, not as a certified numeric threshold."
R018,9,A study with many poll comparisons can still contain only a few independent election outcomes.,BERG2008,IEM abstract: five elections and 964 polls,empirical_abstract,The distinction is a design interpretation of the reported sampling structure; no new effective-sample-size estimate is claimed.
D014,10,The inspected Gneiting-Raftery sections define propriety and present categorical quadratic and logarithmic scores.,GNEITING2007,"Sections 1, 2.1, 2.3 and 3.1-3.2",full_text_section,The chapter independently derives its binary losses; the source uses rewards and a two-outcome quadratic sum. Not every proof or application was inspected.
D015,10,Reading pointer identifying the historical origin of the quadratic (Brier) probability-verification score.,BRIER1950,Publisher-deposited DOI metadata,bibliographic_metadata,Bibliographic identity only; this book's single-YES normalization is defined independently and is not claimed to match the original paper's exact convention.
D016,10,Reading pointer for probability-score decomposition; population identities must be distinguished from binned estimates.,MURPHY1973,Publisher-deposited DOI metadata,bibliographic_metadata,"Bibliographic identity only; the reliability-resolution-uncertainty identity and the worked binned-estimate counterexample in this chapter are derived and numerically verified independently, not taken from the original text."
D017,10,The inspected abstract reports miscalibration in studied modern neural classifiers and reports that temperature scaling was effective on most examined datasets.,GUO2017,Inspected ICML proceedings abstract,empirical_abstract,"Image/document classifier experiments; does not establish calibration behavior on small, shifting event-market samples."
D018,10,"The inspected abstract reports that isotonic calibration can overfit small samples and that logistic calibration can sometimes worsen probabilities, motivating a proposed beta-calibration method.",KULL2017,Inspected AISTATS abstract,method_abstract,Classifier-specific comparisons in the original paper do not establish a universally best calibration method; this book has not implemented beta calibration.
D019,10,The inspected calibration sections distinguish base fitting from calibration data and report model- and sample-dependent calibration benefits and harms.,NICULESCU2005,Author PDF pp. 1-3 and 8; methods and conclusions,full_text_section,Random-sample benchmark results are not chronological event-market validation or a universal method ranking; inspection scope is the source audit's named sections.
D020,10,"An equilibrium market price can, under stated sufficient conditions, reflect an average belief about an event's probability, with biased approximations discussed outside those conditions.",WZ2006,NBER abstract,theoretical_abstract,"Working-paper abstract only; average belief is not objective event probability, and this is not a claim that any specific market price equals the true probability of any specific event."
D021,10,The inspected stationary-bootstrap abstract describes geometric random block lengths for weakly dependent stationary observations.,POLITIS1994,Complete primary publisher abstract,method_abstract,Original full proofs and an appropriate event-data block length were not inspected; the chapter's design-effect calculation is an independent classroom derivation.
D022,10,"The inspected abstract and Section 2 text describe a time-uniform, nonparametric confidence-sequence construction with simultaneous-in-time coverage under a stated exponential-supermartingale/filtration setup.",HOWARD2021,Inspected abstract and Section 2 (author HTML v9),full_text_section,Time-uniform coverage is conditional on the paper's stated assumptions; it does not by itself cure event-group leakage or convert dependent repeated observations into independent ones.
E002,10,The categorical quadratic and logarithmic scores are strictly proper in the inspected categorical representation.,GNEITING2007,Section 3.1; Theorem 2 and Examples 1 and 3; pp. 362-363,full_text_section,Negate the source reward for a loss; the two-component binary squared-error sum is twice this book's single-YES convention.
E003,10,Direct comparisons of forecast scores should use the same set of forecast situations to avoid confounding performance with intrinsic predictability.,GNEITING2007,Section 2.3; p. 362,full_text_section,This does not establish independence of repeated observations or automatically justify any weighting scheme.
E004,10,An outcome-dependent normalized skill score is not automatically proper merely because its underlying score is proper.,GNEITING2007,Section 2.3; p. 362,full_text_section,Distinguish raw proper losses from normalized sample skill measures and retain the exact normalization assumptions.
E005,10,Fitting a calibration map on the base model's own fitting examples can introduce bias; the inspected experiment uses independent calibration examples.,NICULESCU2005,Sections 2.1-2.2; author PDF p. 2,full_text_section,The original random-sample design does not itself solve chronological or event-group leakage.
R019,10,The calibration paper reports miscalibration in studied modern neural classifiers and effective temperature scaling on most examined datasets.,GUO2017,PMLR abstract,empirical_abstract,Image/document benchmarks; no automatic transfer to event markets.
R020,10,The beta-calibration abstract warns that isotonic calibration can overfit small datasets and logistic calibration can worsen some probability estimates.,KULL2017,PMLR abstract,method_abstract,Method and dataset conditions matter; no universally best calibration method established.
M001,11,"Coordinate-descent computation can fit lasso, ridge and elastic-net penalized paths for linear, logistic and multinomial models.",FRIEDMAN2010,Publisher abstract,method_abstract,Computational fitting method only; no forecasting benefit over an unpenalized baseline is implied.
M002,11,"An L1 penalty on linear-model coefficients can drive some coefficients to exactly zero, unlike a smooth L2 penalty.",TIBSHIRANI1996,Publisher-deposited abstract in Crossref,method_abstract,The abstract's primary setting is linear regression; exact sparsity is not proof of causal relevance.
M003,11,Scaled predictors with weakly informative Student-t priors on logistic-regression coefficients are proposed as a default that remains better behaved under complete separation.,GELMAN2008,arXiv abstract; published DOI metadata,method_abstract,A proposed default prior is not a universally optimal prior; Bayesian machinery does not certify correct model specification.
R021,11,"Coordinate-descent regularization paths can fit logistic and multinomial models with lasso, ridge and elastic-net penalties.",FRIEDMAN2010,Publisher abstract,method_abstract,Computation is distinct from leakage-safe model selection and forecasting benefit.
R022,11,The inspected Bayesian logistic-regression abstract proposes scaled predictors and Student-t coefficient priors and discusses complete separation.,GELMAN2008,arXiv abstract,method_abstract,A proposed weakly informative default is not a universal optimal prior.
E006,12,Calibration benefits and harms differ by learning method and calibration sample size in the eight studied binary-classification problems.,NICULESCU2005,Author PDF pp. 2-3 and 8; Figure 8 discussion and Section 7,full_text_section,No universal ranking; 2005 neural-network experiments must not be generalized to all modern architectures.
M004,12,"Random forests grow classification trees on bootstrap resamples and choose each split from a random subset of candidate features, then aggregate votes.",BREIMAN2001,"Berkeley author site, Overview and tree-construction description",full_text_section,"Author explanatory web text, not the original journal proof; raw vote fractions are not automatically calibrated probabilities."
M005,12,"Greedy function approximation via staged, gradient-based boosting is a bibliographic reading pointer used to motivate this chapter's independently derived toy boosting update.",FRIEDMAN2001,Crossref DOI metadata,bibliographic_metadata,"Metadata only, one of the ledger's three remaining reading-pointer records (with BRIER1950 and MURPHY1973); the chapter's boosting arithmetic is derived independently rather than reproduced from the unread paper."
M006,12,XGBoost is described as a scalable tree-boosting system with sparsity-aware split finding and a weighted quantile sketch for approximate splits.,CHEN2016,arXiv abstract and Comments,method_abstract,"Engineering-scale claims about one boosting library; the companion script uses a small scikit-learn gradient boosting classifier, not the XGBoost package."
M007,12,"Modern neural classifiers in the studied image and document benchmarks were frequently poorly calibrated, and temperature scaling improved calibration on most examined datasets.",GUO2017,PMLR abstract,empirical_abstract,Benchmark classifiers and datasets differ from small event-count prediction-market data; no transfer of the specific finding is implied.
M008,12,"Isotonic calibration can overfit small calibration datasets, and logistic calibration can worsen already-reasonable or skewed scores for some studied classifiers.",KULL2017,PMLR abstract,method_abstract,Comparative results concern the studied classifiers and datasets; no calibration method is asserted universally best for prediction-market data.
R023,12,The author-maintained random-forest explanation uses bootstrap samples and random candidate feature subsets when growing classification trees.,BREIMAN2001,Berkeley author site: Overview and tree construction,full_text_section,Author explanatory sections inspected rather than original journal proofs; votes need calibration assessment.
R024,12,The XGBoost abstract describes sparse-data processing and weighted quantile sketches for scalable boosting.,CHEN2016,arXiv abstract,method_abstract,Scalable benchmark performance does not establish event-market advantage.
M009,13,Cox's proportional-hazards formulation multiplies covariate effects by an unspecified baseline hazard for censored failure-time data.,COX1972,Publisher-deposited abstract,method_abstract,Event occurrence and contractual settlement are distinct times; a proportional-hazards assumption needs independent justification for a specific contract.
M010,13,Kalman's formulation recursively updates a linear state estimate and its error covariance from noisy observations.,KALMAN1960,Publisher-deposited abstract,method_abstract,The chapter's minimum-variance linear-estimation derivation does not require Gaussian errors; a Gaussian posterior/state interpretation adds distributional assumptions. No original full-text inspection is claimed.
M011,13,Bayesian online changepoint detection computes a posterior over the current run length under a model where segment parameters before and after a change are independent.,ADAMS2007,arXiv abstract,method_abstract,"Preprint; a detected changepoint is not proof of a causal regime shift or a tradable pattern, and it is not implemented in the companion."
M012,13,"The NOAA Mauna Loa monthly series is a current-vintage observational dataset subject to later revision, and its documentation flags interpolated months and a 2022-2023 measurement-location change.",NOAA_CO2;NOAA_DATA,Dataset provenance header; revision warning,data_provenance,Illustrates current-vintage-versus-point-in-time tension for a real series; it is not market data and supports no market-timing claim.
R025,13,Cox's abstract models censored failure times with covariate effects multiplying an unspecified baseline hazard.,COX1972,Publisher-deposited abstract,method_abstract,Occurrence time and settlement time differ; proportional-hazard assumptions require justification.
R026,13,The online changepoint preprint computes a posterior over current run length under independent before-and-after segment parameters.,ADAMS2007,arXiv abstract,method_abstract,Preprint; change detection is not causal identification or proof of a tradable regime.
M013,14,Bag-of-words representations discard word order while retaining term-occurrence counts.,MANNING2008,Term frequency and weighting,full_text_section,Representation choice alone has no market predictive value.
M014,14,Inverse document frequency is computed from the count of documents containing a term rather than the term's raw total frequency.,MANNING2008,Inverse document frequency,full_text_section,Corpus statistics must be estimated only within the training-information boundary to avoid vocabulary leakage.
M015,14,BERT pretrains deep bidirectional text representations and then adapts them with a task-specific output layer during fine-tuning.,DEVLIN2019,ACL abstract and citation metadata,method_abstract,"Language-benchmark results are not market-forecast evidence, and this record does not certify any model's historical training cutoff."
R027,14,A bag-of-words representation discards word order while retaining term occurrence information.,MANNING2008,Term frequency and weighting,full_text_section,Representation alone supplies no evidence of market predictive value.
R028,14,Inverse document frequency uses the number of documents containing a term rather than merely its total count.,MANNING2008,Inverse document frequency,full_text_section,Estimate corpus statistics within the training information boundary.
R029,14,BERT's inspected abstract describes bidirectional text pretraining followed by task-specific fine-tuning.,DEVLIN2019,ACL abstract,method_abstract,Language-task results do not verify a historical model's information cutoff.
E007,15,Back-propagation computes weight derivatives through repeated applications of the chain rule in a differentiable network.,RUMELHART1986,"Nature pp. 533-535; equations 1-9, visually inspected",full_text_section,"The inspected objective is squared error; derivatives do not guarantee globally optimal fitting, calibration or market skill."
E008,15,The back-propagation article explicitly notes that local minima prevent a guarantee of finding a global minimum.,RUMELHART1986,"Nature p. 535; local-minimum discussion, visually inspected",full_text_section,Do not substitute an illustrative representation-learning result for an event-market validation.
M016,15,"The inspected paper derives weight gradients by propagating output-error derivatives backward through differentiable layers, using a squared-error objective with gradient and momentum updates, and explicitly notes that local minima prevent a guaranteed global optimum.",RUMELHART1986,Nature pp. 533-535; equations 1-9 and local-minimum discussion,full_text_section,Squared-error demonstrations do not establish calibrated probabilities or predictive value on markets; the paper itself disclaims exclusive historical priority; a gradient calculation is not a guarantee of successful representation learning from a small dependent event sample.
M017,15,"LSTM addresses decaying error signals in learning long sequence dependencies, with reported experiments in the abstract on artificial sequence tasks.",HOCHREITER1997,Publisher-deposited abstract,method_abstract,"Artificial long-delay tasks do not establish an advantage on sparse, small-event-count market labels; not implemented in the companion."
M018,15,"The Transformer paper compares per-layer computational complexity, number of sequential operations, and maximum dependency path length across self-attention, recurrent, and convolutional layers.",ATTENTION2017,Abstract; Section 4,full_text_section,"Reported applications are translation and parsing, not calibrated event-probability forecasting; not implemented in the companion, whose neural model is a small feedforward network."
R030,15,"The attention paper compares complexity, sequential operations and dependency path length across attention, recurrent and convolutional layers.",ATTENTION2017,Section 4: Why Self-Attention,full_text_section,Inspected later author HTML version; translation architecture evidence is not event-probability calibration evidence.
R031,15,The LSTM abstract addresses decaying error flow in recurrent learning and reports artificial sequence experiments.,HOCHREITER1997,Publisher-deposited abstract,method_abstract,Does not establish superiority on sparse market-event labels.
E009,16,The forecast-combination paper's abstract describes using past errors to weight two airline-passenger forecast sets and says the combination can reduce mean-square error.,BATES1969,Primary publisher ScholarlyArticle abstract in raw HTML,empirical_abstract,"Possibility in a point-forecast example, not guaranteed improvement or calibration of combined probabilities."
M019,16,"The inspected publisher abstract reports that combining two sets of airline-passenger point forecasts produced lower mean-square error than either original set, and describes estimating combination weights from past forecast errors.",BATES1969,Publisher HTML head: ScholarlyArticle abstract; issue date metadata,empirical_abstract,"An empirical possibility on point forecasts is not a guarantee that every combination improves forecasts, and it is not a theorem that averaging event probabilities preserves calibration; this chapter's own minimum-variance weight derivation is produced independently."
M020,16,"Combining predictive distributions is studied through coherence, calibration, and dispersion, with simulation and case studies noted in the abstract.",GNEITING2013,arXiv abstract; published DOI metadata,method_abstract,An average of calibrated forecasts is not automatically calibrated or coherent; case studies do not show prediction-market profitability.
M021,16,Stacking is extended to Bayesian predictive distributions and compared with Bayesian model averaging in an M-open setting.,YAO2018,arXiv abstract,method_abstract,"Its leave-one-out machinery is not automatically a valid chronological, event-grouped evaluation split."
M022,16,Domain-adversarial training learns representations that remain useful for a task while becoming less distinguishable between a labeled source domain and an unlabeled target domain.,GANIN2016,JMLR abstract,method_abstract,No guarantee of successful transfer across market families or regimes; not implemented in the companion.
R032,16,"Gneiting and Ranjan analyze predictive-distribution aggregation through coherence, calibration and dispersion.",GNEITING2013,Author-manuscript abstract,method_abstract,Earlier manuscript abstract checked against published metadata; averaging alone does not establish calibration.
R033,16,Yao and colleagues extend stacking to Bayesian predictive distributions in an M-open setting.,YAO2018,Author-manuscript abstract,method_abstract,Leave-one-out machinery is not automatically valid chronological evaluation.
R034,16,Domain-adversarial training uses labeled source and unlabeled target data to encourage task-discriminative but domain-indiscriminate features.,GANIN2016,JMLR abstract,method_abstract,Not a universal guarantee of transfer across market families or regimes.
EXE01,17,"Kalshi's fee-rounding documentation distinguishes a trade fee, a separate rounding fee, a rebate, balance precision, and a per-order accumulator applied across fills, a different structure from a single flat per-unit classroom fee.",KALSHI_ROUNDING,Fee Rounding page (complete inspected page),official_documentation,"Not a complete market-specific fee schedule; illustrates structural complexity, not an actual numeric fee table to reuse."
EXE02,17,Polymarket's fee documentation describes taker fees that are price- and market-dependent rather than a single constant.,POLYMARKET_FEES,Fee structure and precision sections,official_documentation,Category table is mutable and market-specific; not a universal or timeless fee constant.
